72 72 "Resolution"
1 "cam01_000000" 2048 1536
2 "cam02_000000" 2048 1536
3 "cam03_000000" 2048 1536
4 "cam04_000000" 2048 1536
5 "cam05_000000" 2448 2048
6 "cam06_000000" 2448 2048
7 "cam07_000000" 2448 2048
8 "cam08_000000" 2448 2048
9 "cam09_000000" 2048 1536
10 "cam10_000000" 2048 1536
11 "cam11_000000" 2048 1536
12 "cam12_000000" 2048 1536
13 "cam13_000000" 2448 2048
14 "cam14_000000" 2448 2048
15 "cam15_000000" 2448 2048
16 "cam16_000000" 2448 2048
17 "cam17_000000" 2048 1536
18 "cam18_000000" 2048 1536
19 "cam19_000000" 2048 1536
20 "cam20_000000" 2048 1536
21 "cam21_000000" 2048 1536
22 "cam22_000000" 2048 1536
23 "cam23_000000" 2448 2048
24 "cam24_000000" 2448 2048
25 "cam25_000000" 2048 1536
26 "cam26_000000" 2048 1536
27 "cam27_000000" 2048 1536
28 "cam28_000000" 2048 1536
29 "cam29_000000" 2448 2048
30 "cam30_000000" 2448 2048
31 "cam31_000000" 2448 2048
32 "cam32_000000" 2448 2048
33 "cam33_000000" 2048 1536
34 "cam34_000000" 2048 1536
35 "cam35_000000" 2048 1536
36 "cam36_000000" 2048 1536
37 "cam37_000000" 2448 2048
38 "cam38_000000" 2448 2048
39 "cam39_000000" 2448 2048
40 "cam40_000000" 2448 2048
41 "cam41_000000" 2048 1536
42 "cam42_000000" 2048 1536
43 "cam43_000000" 2048 1536
44 "cam44_000000" 2048 1536
45 "cam45_000000" 2448 2048
46 "cam46_000000" 2448 2048
47 "cam47_000000" 2448 2048
48 "cam48_000000" 2448 2048
49 "cam49_000000" 2048 1536
50 "cam50_000000" 2048 1536
51 "cam51_000000" 2048 1536
52 "cam52_000000" 2048 1536
53 "cam53_000000" 2048 1536
54 "cam54_000000" 2048 1536
55 "cam55_000000" 2448 2048
56 "cam56_000000" 2448 2048
57 "cam57_000000" 2448 2048
58 "cam58_000000" 2448 2048
59 "cam59_000000" 2448 2048
60 "cam60_000000" 2448 2048
61 "cam61_000000" 2448 2048
62 "cam62_000000" 2448 2048
63 "cam63_000000" 2448 2048
64 "cam64_000000" 2448 2048
65 "cam65_000000" 2448 2048
66 "cam66_000000" 2448 2048
67 "cam67_000000" 2448 2048
68 "cam68_000000" 2448 2048
69 "cam69_000000" 2448 2048
70 "cam70_000000" 2448 2048
71 "cam71_000000" 2448 2048
72 "cam72_000000" 2448 2048
